,Cn,Ca,Cl,Cmlex,Cmley,Cm1/4
0,-0.0747,-0.0221,-0.0766,-0.0708,0.00306,-0.0869
1,0.113,0.00931,0.114,-0.124,0.00188,-0.0944
2,0.283,0.0203,0.284,-0.161,0.000407,-0.0896
3,0.501,0.0135,0.501,-0.21,-0.00141,-0.0869
4,0.655,-0.00396,0.655,-0.245,-0.00303,-0.0847
5,0.855,-0.0302,0.855,-0.296,-0.00503,-0.0877
6,1.015,-0.0654,1.016,-0.333,-0.00697,-0.0857
7,1.143,-0.106,1.147,-0.359,-0.00867,-0.0818
8,1.285,-0.159,1.293,-0.39,-0.0106,-0.0772
9,1.337,-0.206,1.351,-0.392,-0.012,-0.0672
10,1.369,-0.226,1.383,-0.41,-0.0123,-0.0772
11,1.392,-0.249,1.407,-0.423,-0.0127,-0.0843
12,0.955,0.0235,0.901,-0.421,0.000108,-0.195
13,0.995,0.0212,0.927,-0.436,0.000214,-0.204
14,1.08,0.0217,0.993,-0.48,0.000209,-0.232
15,1.128,0.0138,1.025,-0.498,5.02e-05,-0.242
16,1.211,0.00279,1.087,-0.525,-0.000457,-0.254
