Frequency [Hz], FFT Amplitude [Vrms]
0.000,  14.458
7.812,  10.204
15.625,  0.447
23.437,  0.447
31.250,  0.467
39.062,  0.454
46.875,  0.390
54.687,  0.372
62.500,  0.344
70.312,  0.351
78.125,  0.385
85.937,  0.389
93.750,  0.364
101.562,  0.392
109.375,  0.397
117.187,  0.441
125.000,  0.450
132.812,  0.624
140.625,  1.617
148.437,  2.448
156.250,  1.492
164.062,  0.559
171.875,  0.394
179.687,  0.412
187.500,  0.390
195.312,  0.327
203.125,  0.325
210.937,  0.335
218.750,  0.304
226.562,  0.312
234.375,  0.324
242.187,  0.350
250.000,  0.354
257.812,  0.296
265.625,  0.280
273.437,  0.322
281.250,  0.350
289.062,  0.353
296.875,  0.335
304.687,  0.291
312.500,  0.281
320.312,  0.261
328.125,  0.285
335.937,  0.244
343.750,  0.209
351.562,  0.229
359.375,  0.220
367.187,  0.216
375.000,  0.212
382.812,  0.210
390.625,  0.230
398.437,  0.239
406.250,  0.204
414.062,  0.223
421.875,  0.264
429.687,  0.251
437.500,  0.251
445.312,  0.250
453.125,  0.240
460.937,  0.214
468.750,  0.204
476.562,  0.206
484.375,  0.207
492.187,  0.192
500.000,  0.179
507.812,  0.209
515.625,  0.190
523.437,  0.182
531.250,  0.186
539.062,  0.194
546.875,  0.191
554.687,  0.172
562.500,  0.161
570.312,  0.169
578.125,  0.187
585.937,  0.189
593.750,  0.153
601.562,  0.143
609.375,  0.167
617.187,  0.148
625.000,  0.157
632.812,  0.153
640.625,  0.149
648.437,  0.152
656.250,  0.171
664.062,  0.167
671.875,  0.149
679.687,  0.149
687.500,  0.140
695.312,  0.158
703.125,  0.155
710.937,  0.121
718.750,  0.133
726.562,  0.142
734.375,  0.133
742.187,  0.123
750.000,  0.116
757.812,  0.139
765.625,  0.146
773.437,  0.131
781.250,  0.141
789.062,  0.128
796.875,  0.117
804.687,  0.126
812.500,  0.130
820.312,  0.121
828.125,  0.114
835.937,  0.099
843.750,  0.122
851.562,  0.124
859.375,  0.127
867.187,  0.130
875.000,  0.139
882.812,  0.129
890.625,  0.125
898.437,  0.128
906.250,  0.119
914.062,  0.130
921.875,  0.129
929.687,  0.117
937.500,  0.113
945.312,  0.134
953.125,  0.124
960.937,  0.103
968.750,  0.102
976.562,  0.108
984.375,  0.104
992.187,  0.106
1000.000,  0.099
1007.812,  0.104
1015.625,  0.104
1023.437,  0.097
1031.250,  0.109
1039.062,  0.108
1046.875,  0.120
1054.687,  0.117
1062.500,  0.112
1070.312,  0.113
1078.125,  0.110
1085.937,  0.108
1093.750,  0.101
1101.562,  0.097
1109.375,  0.094
1117.187,  0.094
1125.000,  0.100
