Frequency [Hz],FFT Amplitude [Vrms]
0.000,19.030
7.812,13.494
15.625,0.594
23.437,0.560
31.250,0.572
39.062,0.541
46.875,0.506
54.687,0.485
62.500,0.525
70.312,0.490
78.125,0.439
85.937,0.422
93.750,0.439
101.562,0.426
109.375,0.483
117.187,0.481
125.000,0.449
132.812,0.540
140.625,0.489
148.437,0.466
156.250,0.516
164.062,0.483
171.875,0.577
179.687,0.949
187.500,1.765
195.312,2.763
203.125,2.119
210.937,1.135
218.750,0.689
226.562,0.551
234.375,0.533
242.187,0.438
250.000,0.381
257.812,0.366
265.625,0.386
273.437,0.406
281.250,0.371
289.062,0.375
296.875,0.388
304.687,0.366
312.500,0.353
320.312,0.353
328.125,0.343
335.937,0.384
343.750,0.355
351.562,0.384
359.375,0.369
367.187,0.359
375.000,0.401
382.812,0.409
390.625,0.413
398.437,0.414
406.250,0.386
414.062,0.360
421.875,0.357
429.687,0.310
437.500,0.314
445.312,0.319
453.125,0.300
460.937,0.272
468.750,0.240
476.562,0.265
484.375,0.279
492.187,0.271
500.000,0.270
507.812,0.268
515.625,0.250
523.437,0.219
531.250,0.237
539.062,0.269
546.875,0.293
554.687,0.304
562.500,0.293
570.312,0.282
578.125,0.257
585.937,0.279
593.750,0.293
601.562,0.275
609.375,0.251
617.187,0.242
625.000,0.261
632.812,0.255
640.625,0.209
648.437,0.211
656.250,0.239
664.062,0.251
671.875,0.216
679.687,0.213
687.500,0.240
695.312,0.237
703.125,0.196
710.937,0.221
718.750,0.213
726.562,0.208
734.375,0.232
742.187,0.235
750.000,0.209
757.812,0.197
765.625,0.222
773.437,0.221
781.250,0.211
789.062,0.199
796.875,0.169
804.687,0.194
812.500,0.213
820.312,0.196
828.125,0.172
835.937,0.177
843.750,0.186
851.562,0.182
859.375,0.206
867.187,0.183
875.000,0.176
882.812,0.172
890.625,0.183
898.437,0.176
906.250,0.172
914.062,0.160
921.875,0.157
929.687,0.180
937.500,0.182
945.312,0.180
953.125,0.189
960.937,0.177
968.750,0.156
976.562,0.174
984.375,0.175
992.187,0.169
1000.000,0.164
1007.812,0.170
1015.625,0.172
1023.437,0.154
1031.250,0.146
1039.062,0.144
1046.875,0.150
1054.687,0.153
1062.500,0.152
1070.312,0.139
1078.125,0.148
1085.937,0.163
1093.750,0.159
1101.562,0.151
1109.375,0.146
1117.187,0.138
1125.000,0.138
1132.812,0.157
1140.625,0.163
1148.437,0.157
1156.250,0.150
1164.062,0.150
1171.875,0.157
1179.687,0.159
1187.500,0.157
1195.312,0.154
1203.125,0.150
1210.937,0.140
1218.750,0.142
1226.562,0.141
1234.375,0.129
1242.187,0.120
1250.000,0.134
1257.812,0.141
1265.625,0.136
1273.437,0.131
1281.250,0.137
1289.062,0.127
1296.875,0.127
1304.687,0.140
1312.500,0.137
1320.312,0.118
1328.125,0.123
1335.937,0.125
1343.750,0.124
1351.562,0.120
1359.375,0.138
1367.187,0.147
1375.000,0.134
1382.812,0.130
1390.625,0.136
1398.437,0.131
1406.250,0.124
1414.062,0.112
1421.875,0.136
1429.687,0.139
1437.500,0.117
1445.312,0.129
1453.125,0.126
1460.937,0.120
1468.750,0.121
1476.562,0.134
1484.375,0.137
1492.187,0.124
1500.000,0.124
1507.812,0.111
1515.625,0.114
1523.437,0.108
1531.250,0.105
1539.062,0.107
1546.875,0.121
1554.687,0.128
1562.500,0.125
1570.312,0.119
1578.125,0.106
1585.937,0.118
1593.750,0.127
1601.562,0.123
1609.375,0.118
1617.187,0.112
1625.000,0.111
1632.812,0.114
1640.625,0.112
1648.437,0.098
1656.250,0.108
1664.062,0.115
1671.875,0.103
1679.687,0.099
1687.500,0.106
