Time (sec)	T1 (C)	T2 (C)	T3 (C)	T4 (C)	P1 (kPa)	P2 (kPa)	P3 (kPa)	P4 (kPa)	Fuel Flow  (L/hr)	RPM	Thrust (N)
80.731	41.519	41.131	66.709	41.595	0.016	0.102	0.130	0.024	0.007	-6.954	-0.784
80.931	41.514	41.140	66.855	41.901	0.016	0.098	0.133	0.022	0.006	-7.027	-0.636
81.131	41.509	41.031	66.229	41.654	0.016	0.106	0.127	0.020	0.007	-8.200	-1.267
81.332	41.551	41.085	67.070	41.693	0.016	0.096	0.131	0.021	0.007	-4.553	-0.368
81.533	41.514	41.050	67.041	41.452	0.016	0.102	0.138	0.022	0.007	-8.086	-1.327
81.733	41.512	41.127	66.989	41.825	0.016	0.101	0.139	0.023	0.007	-4.909	-0.422
81.933	41.557	40.943	66.791	41.255	0.016	0.091	0.135	0.022	0.007	-4.796	-0.921
82.133	41.506	41.088	66.787	41.131	0.016	0.104	0.136	0.022	0.007	-3.793	-0.258
82.333	41.431	41.029	67.043	41.837	0.016	0.106	0.145	0.023	0.007	-8.879	-1.135
82.533	41.439	41.098	67.091	41.670	0.016	0.109	0.138	0.023	0.007	-7.828	-1.048
82.733	41.503	40.940	67.074	41.491	0.016	0.098	0.140	0.023	0.007	-7.084	-1.300
82.933	41.468	41.068	67.145	41.117	0.016	0.095	0.124	0.022	0.007	-5.434	-0.614
83.133	41.523	40.981	67.451	41.431	0.016	0.092	0.130	0.022	0.007	-5.620	-1.250
83.335	41.493	41.133	67.256	41.804	0.016	0.093	0.140	0.023	0.007	-4.464	-0.176
83.535	41.441	41.004	67.215	41.204	0.016	0.104	0.137	0.023	0.007	-7.714	-1.135
83.734	41.403	41.081	67.133	41.692	0.016	0.098	0.142	0.022	0.007	-9.049	-1.196
83.934	41.415	41.038	67.092	41.660	0.016	0.108	0.150	0.022	0.007	-7.658	-0.505
84.135	41.434	40.966	67.241	41.999	0.016	0.098	0.141	0.023	0.007	-8.563	-1.558
84.334	41.459	41.093	67.235	41.620	0.016	0.103	0.131	0.023	0.007	-4.488	-0.258
84.534	41.468	41.054	66.808	41.206	0.016	0.094	0.137	0.024	0.007	-3.720	-0.483
84.736	41.457	40.989	66.814	41.950	0.016	0.092	0.130	0.023	0.007	-8.111	-1.442
84.935	41.384	41.050	66.908	41.144	0.016	0.094	0.146	0.022	0.007	-8.111	-1.311
85.135	41.450	40.969	67.055	42.142	0.016	0.098	0.136	0.022	0.007	-6.227	-1.481
85.336	41.403	40.983	66.971	42.340	0.016	0.101	0.137	0.022	0.007	-7.642	-1.267
85.537	41.480	41.076	66.447	41.505	0.016	0.102	0.127	0.021	0.007	-4.383	-0.740
85.738	41.411	41.047	66.827	41.657	0.016	0.105	0.142	0.021	0.007	-7.674	-0.910
85.938	41.477	41.120	67.315	41.891	0.016	0.107	0.144	0.021	0.007	-4.860	-0.417
86.138	41.393	41.022	66.892	42.128	0.016	0.096	0.136	0.022	0.007	-8.240	-1.086
86.338	41.406	41.097	66.890	41.971	0.016	0.098	0.136	0.021	0.007	-4.876	-0.576
86.538	41.382	41.052	67.072	41.672	0.016	0.101	0.133	0.021	0.007	-6.760	-0.686
86.739	41.429	41.024	67.107	41.234	0.016	0.097	0.132	0.023	0.007	-3.995	-0.422
86.939	41.408	40.913	66.968	40.916	0.016	0.114	0.138	0.022	0.007	-6.671	-1.404
87.140	41.319	40.899	66.811	41.470	0.016	0.110	0.146	0.022	0.007	-8.111	-1.371
87.339	41.366	41.036	67.097	41.470	0.016	0.106	0.140	0.022	0.007	-5.151	-0.225
87.540	41.359	41.057	66.453	41.548	0.016	0.091	0.139	0.022	0.007	-3.073	-0.346
87.739	41.342	41.058	66.678	41.935	0.016	0.111	0.127	0.020	0.007	-4.820	-0.439
87.939	41.385	41.057	66.909	41.775	0.016	0.108	0.127	0.022	0.007	-3.623	-0.373
88.139	41.426	40.918	66.526	41.189	0.016	0.106	0.127	0.022	0.007	-5.038	-1.124
